,day,month,year,post_category,comp_category,target_audience,min_team_size,max_team_size,registration_fee,number_category,cat_invalid,cat_religious_competition,cat_web_development,cat_ui/ux_competition,cat_non-it_competition,cat_competitive_programming,cat_cybersecurity/network,cat_science_olympiad,cat_game_development,cat_ai,cat_hackathon,cat_mobile_development,cat_robotic/iot,cat_data_science,cat_business_plan,cat_data_analyst,cat_smart_city,cat_python,cat_product_competition,aud_umum,aud_mahasiswa,aud_sma,aud_sd,aud_smp,aud_invalid,aud_tk,min_registration_fee,max_registration_fee,fee_type
11,9,12,2025,COMPETITION,"['AI', 'Non-IT Competition', 'Cybersecurity/Network']",['SMA'],1,1,"[80000, 100000]",3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80000,100000,Paid
12,26,11,2025,COMPETITION,"['AI', 'Non-IT Competition', 'Robotic/IoT']",['SMA'],1,1,[-1],3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,Not listed
13,26,11,2025,COMPETITION,"['Web Development', 'UI/UX Competition']",['Mahasiswa'],1,1,[0],2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
14,26,11,2025,COMPETITION,['Science Olympiad'],['Mahasiswa'],1,1,"[100000, 120000]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000,120000,Paid
15,26,11,2025,COMPETITION,['Competitive Programming'],['SMA'],-1,-1,[0],1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Free
16,22,11,2025,OTHER,['Web Development'],['Umum'],-1,-1,[0],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
17,22,11,2025,COMPETITION,['Web Development'],['Mahasiswa'],1,1,[0],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
18,22,11,2025,COMPETITION,['Science Olympiad'],"['SMP', 'SMA']",-1,-1,"[80004, 65004]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,65004,80004,Paid
19,21,11,2025,COMPETITION,"['Competitive Programming', 'Science Olympiad']","['SMP', 'Umum', 'SD', 'SMA', 'Mahasiswa']",1,1,[0],2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Free
20,21,11,2025,COMPETITION,"['Non-IT Competition', 'Invalid', 'Robotic/IoT']","['Mahasiswa', 'Umum', 'SMA']",-1,-1,[-1],3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,-1,Not listed
21,21,11,2025,OTHER,['Invalid'],['Umum'],-1,-1,[0],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
22,19,11,2025,COMPETITION,"['Hackathon', 'Web Development', 'UI/UX Competition', 'Data Science']",['Mahasiswa'],6,6,[0],4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
23,17,11,2025,OTHER,['Invalid'],['Umum'],-1,-1,[0],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
24,17,11,2025,COMPETITION,"['AI', 'Competitive Programming']","['SMP', 'SMA']",1,1,[-1],2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,-1,Not listed
25,17,11,2025,COMPETITION,"['Data Science', 'Science Olympiad']","['Mahasiswa', 'Umum']",1,1,[0],2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Free
26,12,11,2025,COMPETITION,"['Non-IT Competition', 'UI/UX Competition']","['Mahasiswa', 'SMA']",1,1,"[15000, 60000]",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15000,60000,Paid
27,12,11,2025,COMPETITION,"['Science Olympiad', 'Non-IT Competition', 'Robotic/IoT']","['SMP', 'SD', 'Umum', 'SMA']",1,1,"[275000, 250000]",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,250000,275000,Paid
28,11,11,2025,COMPETITION,"['Non-IT Competition', 'Robotic/IoT']",['Umum'],-1,-1,[0],2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
29,11,11,2025,COMPETITION,['Cybersecurity/Network'],"['Mahasiswa', 'SMA']",1,1,[0],1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Free
30,7,11,2025,COMPETITION,['Competitive Programming'],"['Mahasiswa', 'SMA']",1,1,[35000],1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,35000,35000,Paid
31,7,11,2025,COMPETITION,"['AI', 'Non-IT Competition', 'Science Olympiad', 'Religious Competition']",['Umum'],1,1,"[75000, 30000, 100000, 45000]",4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30000,100000,Paid
32,6,11,2025,COMPETITION,['Hackathon'],['Umum'],-1,-1,[-1],1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
33,6,11,2025,COMPETITION,"['Web Development', 'UI/UX Competition', 'Non-IT Competition']",['Umum'],1,1,[35000],3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35000,35000,Paid
34,3,11,2025,COMPETITION,"['Web Development', 'UI/UX Competition', 'Non-IT Competition']","['Umum', 'SMA']",1,1,[0],3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Free
35,3,11,2025,COMPETITION,['Hackathon'],['Umum'],-1,-1,[-1],1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
36,3,11,2025,COMPETITION,"['Hackathon', 'Science Olympiad']",['Mahasiswa'],3,6,"[150000, 170000]",2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,150000,170000,Paid
37,2,11,2025,COMPETITION,"['Competitive Programming', 'Non-IT Competition', 'UI/UX Competition']",['SMA'],1,1,[0],3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Free
38,2,11,2025,OTHER,['Invalid'],['Umum'],-1,-1,[25000],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25000,25000,Paid
39,2,11,2025,COMPETITION,"['Competitive Programming', 'Science Olympiad']",['SMA'],1,3,[60000],2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60000,60000,Paid
40,2,11,2025,COMPETITION,"['Science Olympiad', 'Non-IT Competition', 'Robotic/IoT']","['SMP', 'SD', 'Umum', 'SMA']",1,1,[135000],3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,135000,135000,Paid
41,30,10,2025,COMPETITION,"['Competitive Programming', 'Game Development']",['SD'],1,1,[0],2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Free
42,30,10,2025,COMPETITION,"['Competitive Programming', 'Science Olympiad']","['SMP', 'SMA']",3,3,[60000],2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,60000,60000,Paid
43,29,10,2025,COMPETITION,"['Web Development', 'UI/UX Competition', 'Robotic/IoT', 'Non-IT Competition']",['Umum'],1,1,"[50000, 30000, 75000, 25000]",4,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,25000,75000,Paid
44,29,10,2025,COMPETITION,['Science Olympiad'],['Mahasiswa'],1,1,[85000],1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85000,85000,Paid
45,29,10,2025,COMPETITION,"['Web Development', 'UI/UX Competition', 'Science Olympiad', 'Non-IT Competition']","['Mahasiswa', 'SMA']",1,1,[60000],4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,60000,60000,Paid
46,29,10,2025,COMPETITION,['Robotic/IoT'],"['SMP', 'Umum', 'SMA']",-1,-1,"[350000, 400000]",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,350000,400000,Paid
47,29,10,2025,COMPETITION,['Game Development'],['Umum'],-1,-1,[0],1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
48,29,10,2025,COMPETITION,"['Competitive Programming', 'Non-IT Competition', 'UI/UX Competition']",['SMA'],1,1,[0],3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Free
49,29,10,2025,COMPETITION,"['Science Olympiad', 'Robotic/IoT']",['Mahasiswa'],1,2,[0],2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
50,29,10,2025,COMPETITION,"['AI', 'Hackathon']",['Umum'],1,1,[-1],2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
51,29,10,2025,COMPETITION,"['Science Olympiad', 'Non-IT Competition', 'Robotic/IoT']","['SMP', 'SD', 'SMA', 'Mahasiswa']",1,1,[80000],3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,80000,80000,Paid
52,29,10,2025,COMPETITION,"['Web Development', 'UI/UX Competition', 'Non-IT Competition']","['Mahasiswa', 'SMA']",1,3,[-1],3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,Not listed
53,29,10,2025,OTHER,['Invalid'],['Umum'],-1,-1,[75000],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75000,75000,Paid
54,26,10,2025,COMPETITION,"['Non-IT Competition', 'UI/UX Competition']",['Mahasiswa'],2,3,[0],2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
55,26,10,2025,COMPETITION,"['AI', 'Web Development', 'Mobile Development', 'Game Development']","['Mahasiswa', 'Umum']",1,1,[-1],4,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,Not listed
56,26,10,2025,COMPETITION,"['AI', 'Non-IT Competition', 'Data Science']",['Umum'],-1,-1,[-1],3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
57,26,10,2025,COMPETITION,['Science Olympiad'],"['SMP', 'SD', 'SMA']",-1,-1,[350000],1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,350000,350000,Paid
58,26,10,2025,COMPETITION,"['Non-IT Competition', 'Science Olympiad', 'Religious Competition']","['Mahasiswa', 'Umum']",-1,-1,"[30000, 45000]",3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30000,45000,Paid
59,26,10,2025,COMPETITION,['Science Olympiad'],['Umum'],1,1,[70000],1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70000,70000,Paid
60,26,10,2025,COMPETITION,"['Competitive Programming', 'Non-IT Competition', 'Cybersecurity/Network']",['Umum'],1,1,[0],3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
61,24,10,2025,COMPETITION,['UI/UX Competition'],['Umum'],1,1,[65000],1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65000,65000,Paid
62,24,10,2025,COMPETITION,"['Web Development', 'Business Plan', 'Science Olympiad', 'Non-IT Competition']","['Mahasiswa', 'Umum', 'SMA']",1,1,[-1],4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,-1,-1,Not listed
63,24,10,2025,COMPETITION,"['Hackathon', 'Game Development']","['Mahasiswa', 'SMA']",-1,-1,[0],2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Free
64,24,10,2025,COMPETITION,['Science Olympiad'],['Umum'],-1,-1,[0],1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
65,24,10,2025,COMPETITION,"['Non-IT Competition', 'Game Development', 'Robotic/IoT']",['Umum'],1,1,[0],3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
66,24,10,2025,COMPETITION,['Hackathon'],['Umum'],-1,-1,[-1],1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
67,24,10,2025,COMPETITION,['Science Olympiad'],['Umum'],-1,-1,[-1],1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
68,24,10,2025,COMPETITION,"['Hackathon', 'Science Olympiad', 'AI', 'Non-IT Competition', 'Cybersecurity/Network']",['Umum'],3,3,[0],5,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
69,24,10,2025,COMPETITION,"['Non-IT Competition', 'Science Olympiad', 'Religious Competition']",['SMA'],1,2,[75000],3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75000,75000,Paid
70,22,10,2025,COMPETITION,['Science Olympiad'],"['SMP', 'SD', 'SMA']",1,1,[0],1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Free
71,22,10,2025,COMPETITION,"['Robotic/IoT', 'Science Olympiad']",['Mahasiswa'],1,1,[0],2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
72,22,10,2025,COMPETITION,"['Hackathon', 'Robotic/IoT']",['Umum'],1,4,[200000],2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,200000,200000,Paid
73,22,10,2025,COMPETITION,"['Web Development', 'UI/UX Competition', 'Science Olympiad', 'Non-IT Competition']","['Mahasiswa', 'SMA']",1,1,[0],4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Free
74,22,10,2025,OTHER,['Invalid'],['Umum'],-1,-1,[0],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
75,20,10,2025,COMPETITION,"['Web Development', 'Science Olympiad']",['Umum'],1,1,[50000],2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50000,50000,Paid
76,19,10,2025,COMPETITION,"['Non-IT Competition', 'UI/UX Competition', 'Science Olympiad']",['Umum'],1,1,"[35000, 70000]",3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35000,70000,Paid
77,19,10,2025,COMPETITION,['Cybersecurity/Network'],['SMA'],1,1,[0],1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Free
78,18,10,2025,COMPETITION,"['Web Development', 'UI/UX Competition', 'Data Science']",['Umum'],1,1,[0],3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
79,16,10,2025,COMPETITION,"['Non-IT Competition', 'Robotic/IoT']",['Umum'],1,1,"[275000, 250000]",2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,250000,275000,Paid
80,16,10,2025,COMPETITION,"['Non-IT Competition', 'Data Science', 'Data Analyst']",['Mahasiswa'],1,1,"[40000, 60000, 65000, 50000, 30000, 75000]",3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,30000,75000,Paid
81,16,10,2025,COMPETITION,"['Invalid', 'Data Science', 'Game Development']",['SMA'],1,3,"[75000, 50000]",3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,50000,75000,Paid
82,16,10,2025,COMPETITION,"['Hackathon', 'Non-IT Competition', 'UI/UX Competition']",['Umum'],1,1,[0],3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
83,16,10,2025,COMPETITION,"['Non-IT Competition', 'Data Science']",['SMP'],1,3,"[75000, 50000]",2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,50000,75000,Paid
84,16,10,2025,COMPETITION,"['Hackathon', 'Non-IT Competition', 'Science Olympiad']",['Umum'],1,1,[-1],3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
85,16,10,2025,COMPETITION,['Robotic/IoT'],"['Mahasiswa', 'SMA']",1,1,[0],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Free
86,16,10,2025,COMPETITION,"['Non-IT Competition', 'Invalid', 'Robotic/IoT']",['Umum'],1,1,"[149000, 50000, 120000]",3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,50000,149000,Paid
87,16,10,2025,COMPETITION,"['Science Olympiad', 'Non-IT Competition', 'Robotic/IoT']","['SMP', 'SD', 'SMA']",1,1,[0],3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Free
88,16,10,2025,COMPETITION,"['Web Development', 'Science Olympiad']","['Mahasiswa', 'SMA']",1,1,"[65000, 85000, 100000, 120000]",2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,65000,120000,Paid
89,16,10,2025,COMPETITION,"['Non-IT Competition', 'UI/UX Competition', 'Science Olympiad']","['Mahasiswa', 'SMA']",1,1,"[35000, 40000]",3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,35000,40000,Paid
90,16,10,2025,OTHER,['Invalid'],['Umum'],-1,-1,[250000],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,250000,250000,Paid
91,16,10,2025,OTHER,['Invalid'],['Umum'],-1,-1,[0],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
92,16,10,2025,COMPETITION,['Science Olympiad'],['SMA'],1,1,[0],1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Free
93,16,10,2025,COMPETITION,"['Hackathon', 'Cybersecurity/Network', 'AI']",['Umum'],-1,-1,[0],3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
94,12,10,2025,COMPETITION,['Mobile Development'],['Umum'],-1,-1,[0],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
95,12,10,2025,COMPETITION,"['Non-IT Competition', 'Science Olympiad']","['SMP', 'SMA']",1,1,"[100000, 120000]",2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100000,120000,Paid
96,12,10,2025,COMPETITION,['Robotic/IoT'],"['SMP', 'SD', 'Umum', 'SMA']",1,1,[-1],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,-1,-1,Not listed
97,12,10,2025,COMPETITION,"['Non-IT Competition', 'UI/UX Competition', 'Science Olympiad']",['Umum'],1,1,"[35000, 70000]",3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35000,70000,Paid
98,12,10,2025,COMPETITION,"['Web Development', 'UI/UX Competition', 'Non-IT Competition']",['Umum'],1,1,[0],3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
99,11,10,2025,COMPETITION,"['AI', 'Non-IT Competition', 'Game Development']",['SMA'],1,1,[0],3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Free
100,11,10,2025,COMPETITION,"['Web Development', 'Robotic/IoT', 'UI/UX Competition', 'Science Olympiad', 'Non-IT Competition', 'Cybersecurity/Network']","['SMP', 'SD', 'SMA']",1,1,[-1],6,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,-1,Not listed
101,9,10,2025,COMPETITION,['Competitive Programming'],['Umum'],1,1,[0],1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
102,9,10,2025,OTHER,['Invalid'],['Umum'],-1,-1,[-1],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
103,8,10,2025,COMPETITION,"['Science Olympiad', 'Robotic/IoT']",['Umum'],-1,-1,[-1],2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
104,8,10,2025,COMPETITION,"['Competitive Programming', 'Religious Competition', 'UI/UX Competition', 'Science Olympiad', 'Non-IT Competition']",['SMA'],1,1,[-1],5,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,Not listed
105,8,10,2025,COMPETITION,"['Hackathon', 'Non-IT Competition', 'Cybersecurity/Network']",['Umum'],1,3,"[622000, 415000, 587000, 420000]",3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,415000,622000,Paid
106,8,10,2025,COMPETITION,['Hackathon'],['Mahasiswa'],1,1,[0],1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
107,8,10,2025,COMPETITION,"['Data Analyst', 'Data Science', 'UI/UX Competition', 'Science Olympiad', 'Non-IT Competition']",['Mahasiswa'],1,1,[0],5,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Free
108,7,10,2025,COMPETITION,['Robotic/IoT'],"['SMP', 'SD', 'Umum', 'SMA']",1,1,[-1],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,-1,-1,Not listed
109,7,10,2025,COMPETITION,"['Web Development', 'Non-IT Competition']",['Umum'],1,1,[34000],2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34000,34000,Paid
110,7,10,2025,COMPETITION,"['Competitive Programming', 'Robotic/IoT']",['Umum'],1,1,[0],2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
